类目编码,类目名称,终止日期,行业类型,行业类型编码,类目名称英文,父类编码,分级
Z030107,工业集团企业,,巨潮行业分类标准,008002,Trading Companies and Distributors,Z0301,3
Z03010701,工业集团企业,,巨潮行业分类标准,008002,Trading Companies and Distributors,Z030107,4
Z0302,工业服务,,巨潮行业分类标准,008002,Industrial Services,Z03,2
Z030201,建筑与工程,,巨潮行业分类标准,008002,Building and Engineering,Z0302,3
Z03020101,建筑施工,,巨潮行业分类标准,008002,Construction,Z030201,4
Z03020102,装饰工程,,巨潮行业分类标准,008002,Decoration Engineering,Z030201,4
Z03020103,园林工程,,巨潮行业分类标准,008002,Landscape Engineering,Z030201,4
Z03020104,其他专业工程,,巨潮行业分类标准,008002,Other Specialized Engineering,Z030201,4
Z030202,工业贸易经销商,,巨潮行业分类标准,008002,Trading Companies and Distributors,Z0302,3
Z03020201,工业贸易经销商,,巨潮行业分类标准,008002,Trading Companies and Distributors,Z030202,4
Z030203,商业用品与服务,,巨潮行业分类标准,008002,Commercial Goods and Professional Services,Z0302,3
Z03020301,商业印刷,,巨潮行业分类标准,008002,Commercial Printing,Z030203,4
Z03020302,环境与设施服务,,巨潮行业分类标准,008002,Environmental & Facilities Services,Z030203,4
Z03020303,各种商业与专业服务,,巨潮行业分类标准,008002,Diversified Support Services,Z030203,4
Z0303,运输,,巨潮行业分类标准,008002,Transportation,Z03,2
Z030301,物流,,巨潮行业分类标准,008002,Logistics Companies,Z0303,3
Z03030101,物流,,巨潮行业分类标准,008002,Logistics Companies,Z030301,4
Z030302,航空运输,,巨潮行业分类标准,008002,Air Transport,Z0303,3
Z03030201,航空运输,,巨潮行业分类标准,008002,Air Transport,Z030302,4
Z030303,水上运输,,巨潮行业分类标准,008002,Water Transport,Z0303,3
Z03030301,水上运输,,巨潮行业分类标准,008002,Water Transport,Z030303,4
Z030304,陆运,,巨潮行业分类标准,008002,Road and Rail,Z0303,3
Z03030401,铁路运输,,巨潮行业分类标准,008002,Railroads,Z030304,4
Z03030402,公路运输,,巨潮行业分类标准,008002,Road Transport,Z030304,4
Z030305,交通基本设施,,巨潮行业分类标准,008002,Transportation Infrastructure,Z0303,3
Z03030501,机场服务,,巨潮行业分类标准,008002,Airport Service,Z030305,4
Z03030502,公路与铁路,,巨潮行业分类标准,008002,Highways & Railtracks,Z030305,4
Z03030503,港口服务,,巨潮行业分类标准,008002,Port Service,Z030305,4
Z04,可选消费,,巨潮行业分类标准,008002,Consumer Discretionary,Z,1
Z0401,汽车与汽车零配件,,巨潮行业分类标准,008002,Automobiles and Components,Z04,2
Z040101,汽车零配件与设备,,巨潮行业分类标准,008002,Auto Parts and Equipment,Z0401,3
Z04010101,汽车零配件,,巨潮行业分类标准,008002,Auto Components,Z040101,4
Z04010102,轮胎,,巨潮行业分类标准,008002,Tires,Z040101,4
Z040102,汽车,,巨潮行业分类标准,008002,Automobiles,Z0401,3
